Category,Description,Категория,Ингредиенты,Описание,"Килокалории, kcal ","Белки","Углеводы","Жиры","Зола","Влага","Клетчатка","Холестерин, mg","Марганец, mg","Селен, mkg","Сахар общее","Тиамин, mg","Major Minerals.Calcium, mg","Major Minerals.Copper, mg","Major Minerals.Iron, mg","Major Minerals.Magnesium, mg","Major Minerals.Phosphorus, mg","Major Minerals.Potassium, mg","Major Minerals.Sodium, mg","Major Minerals.Zinc, mg","Vitamin A - IU, mkg","Vitamin A - RAE, mkg","Vitamin B12, mkg","Vitamin B6, mkg","Vitamin C, mkg","Vitamin E, mkg","Vitamin K, mkg"
MILK,"MILK,DRY,WHOLE",Яйца и Молочные продукты,Молоко,"Сухое, Цельное",496,26.32,38.42,26.71,6.08,2.47,0.0,97,0.04,16.3,38.41999817,0.283,912,0.08,0.47,85,776,1330,371,3.34,915,257,3.25,0.302,8.6,0.48,1.8
MILK,"MILK,WHL,3.25% MILKFAT",Яйца и Молочные продукты,Молоко,"Цельное, 3.25% Жирности",60,3.22,4.52,3.25,0.69,88.32,0.0,10,0.003,3.7,5.260000229,0.044,113,0.011,0.03,10,91,143,40,0.4,102,28,0.44,0.036,0.0,0.06,0.2
WHEY,"WHEY,ACID,FLUID",Яйца и Молочные продукты,Сыворотка,"Кислотная, Жидкая",24,0.76,5.12,0.09,0.61,93.42,0.0,1,0.002,1.8,5.1199998860000004,0.042,103,0.003,0.08,10,78,143,48,0.43,7,2,0.18,0.042,0.1,0.0,0.0
WHEY,"WHEY,ACID,DRIED",Яйца и Молочные продукты,Сыворотка,"Кислотная, Сухая",339,11.73,73.45,0.54,10.77,3.51,0.0,3,0.015,27.3,73.44999695,0.622,2054,0.05,1.24,199,1349,2289,968,6.31,59,17,2.5,0.62,0.9,0.0,0.0
WHEY,"WHEY,SWEET,FLUID",Яйца и Молочные продукты,Сыворотка,"Сладкая, Жидкая",27,0.85,5.14,0.36,0.53,93.12,0.0,2,0.001,1.9,5.139999866,0.036,47,0.004,0.06,8,46,161,54,0.13,12,3,0.28,0.031,0.1,0.0,0.0
WHEY,"WHEY,SWEET,DRIED",Яйца и Молочные продукты,Сыворотка,"Сладкая, Сухая",353,12.93,74.46,1.07,8.35,3.19,0.0,6,0.009,27.2,74.45999908,0.519,796,0.07,0.88,176,932,2080,1079,1.97,30,8,2.37,0.584,1.5,0.02,0.1
EGG,"EGG,TURKEY,WHL,FRSH,RAW",Яйца и Молочные продукты,Яйцо,Индюшиное,171,13.68,1.15,11.88,0.79,72.5,0.0,933,0.038,34.3,0.0,0.11,99,0.062,4.1,13,170,142,151,1.58,554,166,1.69,0.131,0.0,0.0,0.0
EGG,"EGG,WHOLE,RAW,FRESH",Яйца и Молочные продукты,Яйцо,Куринное,143,12.58,0.77,9.94,0.86,75.84,0.0,423,0.038,31.7,0.769999981,0.069,53,0.102,1.83,12,191,134,140,1.11,487,140,1.29,0.143,0.0,0.97,0.3
EGG,"EGG,WHITE,RAW,FRESH",Яйца и Молочные продукты,Яйцо,"Куринное, Белок",48,10.9,0.73,0.17,0.63,87.57,0.0,0,0.011,20.0,0.709999979,0.004,7,0.023,0.08,11,15,163,166,0.03,0,0,0.09,0.005,0.0,0.0,0.0
EGG,"EGG,YOLK,RAW,FRSH",Яйца и Молочные продукты,Яйцо,"Куринное, Желток",317,15.86,3.59,26.54,1.71,52.31,0.0,1234,0.055,56.0,0.560000002,0.176,129,0.077,2.73,5,390,109,48,2.3,1442,381,1.95,0.35,0.0,2.58,0.7
EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",Яйца и Молочные продукты,Яйцо,Перепелиное,158,13.05,0.41,11.09,1.1,74.35,0.0,844,0.038,32.0,0.409999996,0.13,64,0.062,3.65,13,226,132,141,1.47,543,156,1.58,0.15,0.0,1.08,0.3
