Category,Description,Категория,Ингредиенты,Описание,"Килокалории, kcal ","Белки","Углеводы","Жиры","Зола","Влага","Клетчатка","Холестерин, mg","Марганец, mg","Селен, mkg","Сахар общее","Тиамин, mg","Major Minerals.Calcium, mg","Major Minerals.Copper, mg","Major Minerals.Iron, mg","Major Minerals.Magnesium, mg","Major Minerals.Phosphorus, mg","Major Minerals.Potassium, mg","Major Minerals.Sodium, mg","Major Minerals.Zinc, mg","Vitamin A - IU, mkg","Vitamin A - RAE, mkg","Vitamin B12, mkg","Vitamin B6, mkg","Vitamin C, mkg","Vitamin E, mkg","Vitamin K, mkg"
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Мясо,Говядина,Язык,224,14.9,3.68,16.09,0.8,64.53,0.0,87,0.026,9.4,0.0,0.125,6,0.17,2.95,16,133,315,69,2.87,0,0,3.79,0.31,3.1,0.0,0.0
GOOSE,"GOOSE,DOMESTICATED,MEAT ONLY,RAW",Мясо,Гусятина,Мясо,161,22.75,0.0,7.13,1.1,68.3,0.0,84,0.024,16.8,0.0,0.129,13,0.306,2.57,24,312,420,87,2.34,40,12,0.49,0.64,7.2,0.0,0.0
GOOSE,"GOOSE,LIVER,RAW",Мясо,Гусятина,Печень,133,16.37,6.32,4.28,1.25,71.78,0.0,515,0.0,68.1,0.0,0.562,43,7.522,30.53,24,261,230,140,3.07,30998,9309,54.0,0.76,4.5,0.0,0.0
TURKEY,"TURKEY,ALL CLASSES,LT MEAT,RAW",Мясо,Индейка,Белое Мясо,115,23.56,0.0,1.56,1.0,73.82,0.0,60,0.019,24.4,0.0,0.064,12,0.075,1.19,27,204,305,63,1.62,0,0,0.45,0.56,0.0,0.0,0.0
TURKEY,"TURKEY,GIZZARD,ALL CLASSES,RAW",Мясо,Индейка,Желудки,118,19.14,0.0,4.58,1.0,76.18,0.0,197,0.048,29.2,0.0,0.04,6,0.114,4.31,16,140,322,72,2.86,0,0,6.86,0.12,6.2,0.05,0.0
TURKEY,"TURKEY,ALL CLASSES,MEAT ONLY,RAW",Мясо,Индейка,Мясо,119,21.77,0.0,2.86,0.97,74.16,0.0,65,0.021,26.5,0.0,0.072,14,0.109,1.45,25,195,296,70,2.37,0,0,0.43,0.47,0.0,0.35,2.7
TURKEY,"TURKEY,LIVER,ALL CLASSES,RAW",Мясо,Индейка,Печень,228,17.84,2.26,16.36,1.25,62.29,0.0,331,0.195,70.8,0.0,0.153,5,0.407,12.0,15,279,255,71,2.26,72382,21702,49.4,1.47,24.5,0.12,0.8
TURKEY,"TURKEY,HEART,ALL CLASSES,RAW",Мясо,Индейка,Сердце,113,17.13,0.41,4.79,1.05,76.62,0.0,147,0.058,35.9,0.0,0.212,6,0.394,4.18,22,222,295,94,3.37,107,23,15.4,0.441,3.0,0.04,0.0
TURKEY,"TURKEY,ALL CLASSES,DK MEAT,RAW",Мясо,Индейка,Тёмное Мясо,125,20.07,0.0,4.38,0.93,74.48,0.0,69,0.022,28.6,0.0,0.081,17,0.147,1.75,22,184,286,77,3.22,0,0,0.4,0.36,0.0,0.0,0.0
GOAT,"GOAT,RAW",Мясо,Козлятина,Мясо,109,20.6,0.0,2.31,1.11,75.84,0.0,57,0.038,8.8,0.0,0.11,13,0.256,2.83,0,180,385,82,4.0,0,0,1.13,0.0,0.0,0.0,0.0
CHICKEN,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,RAW",Мясо,Курица,Грудка,110,23.09,0.0,1.24,1.02,74.76,0.0,58,0.018,17.8,0.0,0.07,11,0.041,0.72,28,196,255,65,0.8,21,6,0.38,0.55,1.2,0.13,0.2
CHICKEN,"CHICKEN,GIZZARD,ALL CLASSES,RAW",Мясо,Курица,Желудок,94,17.66,0.0,2.06,0.95,79.33,0.0,240,0.055,25.5,0.0,0.028,11,0.116,2.49,15,148,237,69,2.72,64,19,1.21,0.112,3.7,0.33,0.0
CHICKEN,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",Мясо,Курица,Мясо,119,21.39,0.0,3.08,0.96,75.46,0.0,70,0.019,15.7,0.0,0.073,12,0.053,0.89,25,173,229,77,1.54,52,16,0.37,0.43,2.3,0.21,1.8
CHICKEN,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",Мясо,Курица,Нога,120,20.13,0.0,3.81,0.94,76.13,0.0,80,0.021,13.5,0.0,0.079,11,0.064,1.02,23,167,229,86,2.06,61,18,0.36,0.33,0.0,0.32,2.9
CHICKEN,"CHICKEN,LIVER,ALL CLASSES,RAW",Мясо,Курица,Печень,116,16.92,0.0,4.83,1.06,76.46,0.0,345,0.255,54.6,0.0,0.305,8,0.492,8.99,19,297,230,71,2.67,11078,3296,16.58,0.853,17.9,0.7,0.0
CHICKEN,"CHICKEN,HEART,ALL CLASSES,RAW",Мясо,Курица,Сердце,153,15.55,0.71,9.33,0.85,73.56,0.0,136,0.089,4.3,0.0,0.152,12,0.346,5.96,15,177,176,74,6.59,30,9,7.29,0.36,3.2,0.0,0.0
QUAIL,"QUAIL,BREAST,MEAT ONLY,RAW",Мясо,Перепелка,Грудка,123,22.59,0.0,2.99,1.27,71.67,0.0,58,0.018,18.8,0.0,0.24,10,0.433,2.31,28,228,260,55,2.7,37,11,0.47,0.53,5.1,0.0,0.0
QUAIL,"QUAIL,MEAT ONLY,RAW",Мясо,Перепелка,Мясо,134,21.76,0.0,4.53,1.32,70.03,0.0,70,0.019,17.4,0.0,0.283,13,0.594,4.51,25,307,237,51,2.7,57,17,0.47,0.53,7.2,0.0,0.0
PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,STOMACH,RAW",Мясо,Свинина,Желудок,159,16.85,0.0,10.14,0.63,73.5,0.0,223,0.038,31.1,0.0,0.051,11,0.169,1.01,11,130,140,75,1.85,0,0,0.3,0.034,0.0,0.04,0.0
PORK,"PORK,FRSH,LOIN,WHL,LN,RAW",Мясо,Свинина,Мясо,143,21.43,0.0,5.66,1.05,72.23,0.0,59,0.012,36.1,0.0,0.989,17,0.062,0.84,23,211,389,52,1.84,7,2,0.63,0.527,0.6,0.18,0.0
PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо,Свинина,Печень,134,21.39,2.47,3.65,1.44,71.06,0.0,301,0.344,52.7,0.0,0.283,9,0.677,23.3,18,288,273,87,5.76,21650,6502,26.0,0.69,25.3,0.0,0.0
PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Мясо,Свинина,Почки,100,16.46,0.0,3.25,1.17,80.06,0.0,319,0.123,190.0,0.0,0.34,9,0.622,4.89,17,204,229,121,2.75,198,59,8.49,0.44,13.3,0.0,0.0
PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,HEART,RAW",Мясо,Свинина,Сердце,118,17.27,1.33,4.36,0.84,76.21,0.0,131,0.063,10.4,0.0,0.613,5,0.408,4.68,19,169,294,56,2.8,25,8,3.79,0.39,5.3,0.63,0.0
PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TAIL,RAW",Мясо,Свинина,Хвост,378,17.75,0.0,33.5,0.5,46.05,0.0,97,0.011,2.7,0.0,0.21,18,0.084,0.99,8,50,349,63,2.31,0,0,0.88,0.37,0.0,0.0,0.0
PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Мясо,Свинина,Язык,225,16.3,0.0,17.2,0.9,65.9,0.0,101,0.011,10.4,0.0,0.49,16,0.07,3.35,18,193,243,110,3.01,0,0,2.84,0.24,4.4,0.29,0.0
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",Мясо,Телятина,Легкие,90,16.3,0.0,2.3,1.1,80.5,0.0,229,0.018,17.2,0.0,0.047,7,0.241,5.23,12,288,274,108,1.16,0,0,3.83,0.11,39.0,0.0,0.0
VEAL,"VEAL,COMP OF RTL CUTS,LN,RAW",Мясо,Телятина,Мясо,112,20.2,0.0,2.87,1.08,75.91,0.0,83,0.029,8.6,0.0,0.08,15,0.113,0.85,25,211,328,86,3.23,0,0,1.4,0.43,0.0,0.26,0.0
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо,Телятина,Печень,140,19.93,2.91,4.85,1.42,70.89,0.0,334,0.255,22.7,0.0,0.173,5,11.865,6.4,20,379,308,77,12.02,39056,11707,59.85,0.957,0.7,0.37,0.9
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Мясо,Телятина,Почки,99,15.76,0.85,3.12,1.2,79.07,0.0,364,0.08,80.0,0.0,0.32,11,0.494,3.36,16,241,272,178,1.97,308,92,28.2,0.37,5.0,0.0,0.0
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,HEART,RAW",Мясо,Телятина,Сердце,110,17.18,0.08,3.98,1.07,77.69,0.0,104,0.036,33.3,0.0,0.52,5,0.34,4.24,18,211,261,77,1.47,0,0,13.76,0.43,8.0,0.0,0.0
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Мясо,Телятина,Язык,131,17.18,1.91,5.48,0.89,74.53,0.0,62,0.023,7.0,0.0,0.17,7,0.2,2.72,17,159,271,82,2.63,1,0,6.1,0.19,5.0,0.0,0.0
DUCK,"DUCK,DOMESTICATED,MEAT ONLY,RAW",Мясо,Утятина,Мясо,132,18.28,0.0,5.95,1.06,73.77,0.0,77,0.019,13.9,0.0,0.36,11,0.253,2.4,19,203,271,74,1.9,79,24,0.4,0.34,5.8,0.7,2.8
DUCK,"DUCK,DOMESTICATED,LIVER,RAW",Мясо,Утятина,Печень,136,18.74,3.53,4.64,1.32,71.78,0.0,515,0.258,67.0,0.0,0.562,11,5.962,30.53,24,269,230,140,3.07,39907,11984,54.0,0.76,4.5,0.0,0.0
GUINEA HEN,"GUINEA HEN,MEAT ONLY,RAW",Мясо,Цесарка,Мясо,110,20.64,0.0,2.47,1.25,74.44,0.0,63,0.018,17.5,0.0,0.067,11,0.044,0.77,24,169,220,69,1.2,41,12,0.37,0.47,1.7,0.0,0.0
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",Мясо,Ягненок,Лёгкие,95,16.7,0.0,2.6,1.1,79.7,0.0,0,0.019,17.7,0.0,0.048,10,0.254,6.4,14,219,238,157,1.8,89,27,3.93,0.11,31.0,0.0,0.0
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",Мясо,Ягненок,Мясо,276,14.97,0.0,23.54,1.21,58.68,0.0,213,0.012,20.1,0.0,0.072,162,0.058,5.9,18,337,288,59,3.72,0,0,2.56,0.11,0.0,0.0,0.0
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Мясо,Ягненок,Печень,139,20.38,1.78,5.02,1.44,71.37,0.0,371,0.184,82.4,0.0,0.34,7,6.979,7.37,19,364,313,70,4.66,24612,7391,90.05,0.9,4.0,0.0,0.0
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Мясо,Ягненок,Почки,97,15.74,0.82,2.95,1.26,79.23,0.0,337,0.118,126.9,0.0,0.62,13,0.446,6.38,17,246,277,156,2.24,316,95,52.41,0.22,11.0,0.0,0.0
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,HEART,RAW",Мясо,Ягненок,Сердце,122,16.47,0.21,5.68,0.93,76.71,0.0,135,0.046,32.0,0.0,0.37,6,0.397,4.6,17,175,316,89,1.87,0,0,10.25,0.39,5.0,0.0,0.0
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Мясо,Ягненок,Язык,222,15.7,0.0,17.17,0.92,66.6,0.0,156,0.049,15.0,0.0,0.15,9,0.212,2.65,21,184,257,78,2.32,0,0,7.2,0.18,6.0,0.0,0.0
TROUT,"TROUT,MIXED SPECIES,RAW",Мясо,Рыба,Форель,148,20.77,0.0,6.61,1.17,71.42,0.0,58,0.851,12.6,0.0,0.35,43,0.188,1.5,22,245,361,52,0.66,57,17,7.79,0.2,0.5,0.2,0.1
EGGPLANT,"EGGPLANT,RAW",Овощи и фрукты,Баклажан,Обыкновенный,24,1.01,5.7,0.19,0.7,92.41,3.400000095,0,0.25,0.3,2.349999905,0.039,9,0.082,0.24,14,25,230,2,0.16,27,1,0.0,0.084,2.2,0.3,3.5
PEAS,"PEAS,EDIBLE-PODDED,RAW",Овощи и фрукты,Горох,В Стручках,42,2.8,7.55,0.2,0.56,88.89,2.599999905,0,0.244,0.7,4.0,0.15,43,0.079,2.08,24,53,200,4,0.27,1087,54,0.0,0.16,60.0,0.39,25.0
PEAS,"PEAS,GREEN,RAW",Овощи и фрукты,Горох,Зелёный Горошек,81,5.42,14.45,0.4,0.87,78.86,5.099999905,0,0.41,1.8,5.670000076,0.266,25,0.176,1.47,33,108,244,5,1.24,765,38,0.0,0.169,40.0,0.13,24.8
SQUASH,"SQUASH,SMMR,ALL VAR,RAW",Овощи и фрукты,Кабачок,Обыкновенный,16,1.21,3.35,0.18,0.62,94.64,1.100000024,0,0.175,0.2,2.200000048,0.048,15,0.051,0.35,17,38,262,2,0.29,200,10,0.0,0.218,17.0,0.12,3.0
CABBAGE,"CABBAGE,RAW",Овощи и фрукты,Капуста,Белокочанная,25,1.28,5.8,0.1,0.64,92.18,2.5,0,0.16,0.3,3.200000048,0.061,40,0.019,0.47,12,26,170,18,0.18,98,5,0.0,0.124,36.6,0.15,76.0
BROCCOLI,"BROCCOLI,RAW",Овощи и фрукты,Капуста,Брокколи,34,2.82,6.64,0.37,0.87,89.3,2.599999905,0,0.21,2.5,1.700000048,0.071,47,0.049,0.73,21,66,316,33,0.41,623,31,0.0,0.175,89.2,0.78,101.6
BRUSSELS SPROUTS,"BRUSSELS SPROUTS,RAW",Овощи и фрукты,Капуста,Брюссельская,43,3.38,8.95,0.3,1.37,86.0,3.799999952,0,0.337,1.6,2.200000048,0.139,42,0.07,1.4,23,69,389,25,0.42,754,38,0.0,0.219,85.0,0.88,177.0
CABBAGE,"CABBAGE,RED,RAW",Овощи и фрукты,Капуста,Краснокочанная,31,1.43,7.37,0.16,0.64,90.39,2.099999905,0,0.243,0.6,3.829999924,0.064,45,0.017,0.8,16,30,243,27,0.22,1116,56,0.0,0.209,57.0,0.11,38.2
CAULIFLOWER,"CAULIFLOWER,RAW",Овощи и фрукты,Капуста,Цветная,25,1.98,5.3,0.1,0.71,91.91,2.5,0,0.156,0.6,2.400000095,0.057,22,0.042,0.44,15,44,303,30,0.28,13,1,0.0,0.222,46.4,0.08,16.0
POTATO,"POTATO,FLESH & SKN,RAW",Овощи и фрукты,Картофель,Обыкновенный,77,2.02,17.47,0.09,1.08,79.34,2.200000048,0,0.153,0.3,0.779999971,0.08,12,0.108,0.78,23,57,421,6,0.29,2,0,0.0,0.295,19.7,0.01,1.9
CARROTS,"CARROTS,RAW",Овощи и фрукты,Морковь,Обыкновенный,41,0.93,9.58,0.24,0.97,88.29,2.799999952,0,0.143,0.1,4.739999771,0.066,33,0.045,0.3,12,35,320,69,0.24,16706,835,0.0,0.138,5.9,0.66,13.2
CUCUMBER,"CUCUMBER,WITH PEEL,RAW",Овощи и фрукты,Огурец,Обыкновенный,15,0.65,3.63,0.11,0.38,95.23,0.5,0,0.079,0.3,1.669999957,0.027,16,0.041,0.28,13,24,147,2,0.2,105,5,0.0,0.04,2.8,0.03,16.4
CASHEW NUTS,"CASHEW NUTS,DRY RSTD,WO/SALT",Овощи и фрукты,Орехи,"Кешью, жареные",574,15.31,32.69,46.35,3.95,1.7,3.0,0,0.826,11.7,5.010000229,0.2,45,2.22,6.0,260,490,565,16,5.6,0,0,0.0,0.256,0.0,0.92,34.7
PEPPERS,"PEPPERS,SWT,GRN,RAW",Овощи и фрукты,Перец,Сладкий Зелёный,20,0.86,4.64,0.17,0.43,93.89,1.700000048,0,0.122,0.0,2.400000095,0.057,10,0.066,0.34,10,20,175,3,0.13,370,18,0.0,0.224,80.4,0.37,7.4
PEPPERS,"PEPPERS,SWT,RED,RAW",Овощи и фрукты,Перец,Сладкий Красный,31,0.99,6.03,0.3,0.47,92.21,2.099999905,0,0.112,0.1,4.199999809,0.054,7,0.017,0.43,12,26,211,4,0.25,3131,157,0.0,0.291,127.7,1.58,4.9
